Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns,Fear_Signal,Investor_Bias,Recommendataion,sharpe_Rato,Rolling_Sharpe,Performance,Recommendation,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return,Recommendation_Shifted
2019-04-05,46.985313415527344,47.00916528414231,46.7301122506272,46.85413541671345,74106400,0.0066941479025566,43.87720718383789,0.0121543448502742,1.157597785803416,Greed,0.5507617222499311,Greed,Greed,Hold,0.5507617222499311,,Poor,Sell,-0.0066941479025566,0.9575913285406237,1.1575977858034163,Sell
2019-04-08,47.72467803955078,47.755681101848495,46.82790017839874,46.84698094558115,103526800,0.015736079431559,44.08287773132325,0.0123199370188144,1.1758138365106157,Greed,1.2772857042635557,Greed,Greed,Hold,1.2772857042635557,,Poor,Sell,-0.015736079431559,0.9425225953317363,1.1758138365106159,Sell
2019-04-09,47.58158493041992,48.38057540626881,47.51718778143909,47.77716010907096,143072800,-0.0029983043366426,44.28298314412435,0.0123783003939855,1.1722883887855216,Greed,-0.242222618712618,Greed,Neutral,Hold,-0.242222618712618,,Poor,Hold,0.0029983043366426,0.9453485649167032,1.1722883887855218,Sell
2019-04-10,47.84869766235352,47.8773206328261,47.26674699962892,47.38599906529268,86781200,0.0056137838267515,44.48769912719727,0.0123764411840201,1.1788693623827744,Greed,0.4535862727647237,Greed,Greed,Hold,0.4535862727647237,,Poor,Sell,0.0,0.9453485649167032,1.1788693623827746,Hold
2019-04-11,47.45040130615234,47.93933555584752,47.32876549622773,47.90356138801222,83603200,-0.0083240793513705,44.692813110351565,0.0123183029970931,1.1690563602654005,Greed,-0.6757488716858835,Greed,Neutral,Hold,-0.6757488716858835,,Poor,Hold,0.0083240793513705,0.9532177213857741,1.169056360265401,Sell
2019-04-12,47.43132019042969,47.73422148659965,46.79690190331519,47.51002699837706,111042800,-0.0004021275942335,44.88282140096029,0.0123023071166137,1.1685862504437237,Greed,-0.0326871691969423,Greed,Neutral,Hold,-0.0326871691969423,,Poor,Hold,0.0,0.9532177213857741,1.168586250443724,Hold
2019-04-15,47.51717376708984,47.66504879296179,47.226198455924894,47.36214754820143,70146400,0.0018100608693889,45.068695068359375,0.0123102097983029,1.1707014626881578,Greed,0.1470373697155378,Greed,Greed,Hold,0.1470373697155378,,Poor,Sell,0.0,0.9532177213857741,1.1707014626881582,Hold
2019-04-16,47.52194595336914,48.02757352365968,47.35737752813351,47.57203341989984,102785600,0.0001004307685192,45.25727246602376,0.012282558027283,1.1708190371357623,Greed,0.0081766980702322,Greed,Greed,Hold,0.0081766980702322,,Poor,Sell,-0.0001004307685192,0.9531219889974493,1.1708190371357627,Sell
2019-04-17,48.44733810424805,48.5069641281486,47.36929857312662,47.5911056351805,115627200,0.0194729431279381,45.48472557067871,0.0124327016423847,1.1936183296590144,Greed,1.566268031523599,Greed,Greed,Hold,1.566268031523599,,Poor,Sell,-0.0194729431279381,0.9345618987117147,1.1936183296590148,Sell
2019-04-18,48.621463775634766,48.6906283886764,48.30186903803461,48.44496936686441,96783200,0.0035941225710283,45.73404197692871,0.0120311679968599,1.1979083402388349,Greed,0.2987343017707304,Greed,Greed,Hold,0.2987343017707304,,Poor,Sell,-0.0035941225710283,0.9312029686975318,1.1979083402388353,Sell
2019-04-22,48.78125,48.87903756789539,48.25892536678017,48.37579370201741,77758000,0.0032863310142732,45.98542544047038,0.012023769270978,1.2018450635696185,Greed,0.2733195340171305,Greed,Greed,Hold,0.2733195340171305,,Poor,Sell,-0.0032863310142732,0.9281427275009179,1.2018450635696187,Sell
2019-04-23,49.48483657836914,49.54923371338613,48.63099134409102,48.7573982436491,93292000,0.0144232994925128,46.21264063517253,0.0108543546376333,1.219179634865081,Greed,1.3288030448632622,Greed,Greed,Hold,1.3288030448632622,,Poor,Sell,-0.0144232994925128,0.9147558469703745,1.2191796348650814,Sell
2019-04-24,49.40851211547852,49.7233356470686,49.38227651790569,49.45621220944261,70162400,-0.001542380821441,46.42133191426595,0.0108523103438565,1.2172991955783734,Greed,-0.1421246511176436,Greed,Neutral,Hold,-0.1421246511176436,,Poor,Hold,0.001542380821441,0.9161667488450426,1.217299195578374,Sell
2019-04-25,48.96012878417969,49.55161802291001,48.92196724896242,49.32981092311776,74172800,-0.0090750219365209,46.60871658325196,0.0111353023535764,1.2062521786751903,Greed,-0.8149775954315434,Greed,Neutral,Hold,-0.8149775954315434,,Poor,Hold,0.0,0.9161667488450426,1.2062521786751912,Hold
